Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_heights,rise,slope_dist,slope_percent,hd_calc,hd,soil_pos,soil_desc
94,5435725.081,490004.462,0.741,d: eleopal-schopun,,,,0.032,2,0.016,1.9997440491415,93.9373660235063,,
96,5435723.682,490003.107,0.748,d: eleopal-schopun,,,,0.007,2,0.0035,1.9999877501126,95.9373537736189,,
98,5435722.314,490001.674,0.761,d: eleopal-schopun,,,,0.013,2,0.0065,1.9999577513388,97.9373115249576,,
100,5435720.946,490000.224,0.781,d: eleopal-schopun,,,,0.02,2,0.01,1.9999000074994,99.9372115324570,0.781,c3
102,5435719.689,489998.61,0.809,d: eleopal-schopun / i: carelyn,91.8,0.918,1.727,0.028,2,0.014,1.9998040288073,101.9370155612640,,
104,5435718.386,489997.075,0.81,d: eleopal-schopun / i: carelyn,77.2,0.772,1.582,0.001,2,0.0005,1.9999997500001,103.9370153112640,,
106,5435717.19,489995.453,0.837,d: eleopal-schopun / i: carelyn,71,0.71,1.547,0.027,2,0.0135,1.9998177749075,105.9368330861720,,
108,5435715.917,489993.919,0.851,d: eleopal-schopun / i: carelyn,71.6,0.716,1.567,0.014,2,0.007,1.9999510018007,107.9367840879730,,
110,5435714.703,489992.382,0.885,d: eleopal-schopun / s: carelyn,88.6,0.886,1.771,0.034,2,0.017,1.9997110626257,109.9364951505980,,
112,5435713.317,489990.857,0.903,d: eleopal-schopun / s: carelyn,90.2,0.902,1.805,0.018,2,0.009,1.9999190049204,111.9364141555190,,
114,5435712.113,489989.323,0.947,d: eleopal-schopun-carelyn,93.4,0.934,1.881,0.044,2,0.022,1.9995161756212,113.9359303311400,,
116,5435710.843,489987.674,0.923,d: eleopal-schopun / s: carelyn,94.8,0.948,1.871,-0.024,2,-0.012,1.9998560155501,115.9357863466900,,
118,5435709.707,489986.1,0.975,d: eleopal-schopun-carelyn,92.6,0.926,1.901,0.052,2,0.026,1.9993243425390,117.9351106892290,,
120,5435708.365,489984.585,0.968,d: eleopal-schopun-carelyn,92.8,0.928,1.896,-0.007,2,-0.0035,1.9999877501126,119.9350984393410,,
122,5435707.117,489983.054,0.969,d: carelyn / s: eleopal-schopun,101,1.01,1.979,0.001,2,0.0005,1.9999997500001,121.9350981893420,,
124,5435705.898,489981.508,0.995,d: carelyn / s: eleopal-schopun,101.6,1.016,2.011,0.026,2,0.013,1.9998310214177,123.9349292107590,,
126,5435704.666,489979.957,0.993,d: carelyn / s: eleopal-schopun,111.8,1.118,2.111,-0.002,2,-0.001,1.9999990000008,125.9349282107600,,
128,5435703.341,489978.424,1.06,d: carelyn / s: eleopal-schopun,110.5,1.105,2.165,0.067,2,0.0335,1.9988786937013,127.9338069044610,,
130,5435702.135,489976.8,1,d: eleopal-schopun / s: carelyn / i: schotab,97.2,0.972,1.972,-0.06,2,-0.03,1.9991006070447,129.9329075115060,,
132,5435700.857,489975.309,1.029,d: eleopal-schopun / s: carelyn,96.4,0.964,1.993,0.029,2,0.0145,1.9997897831480,131.9326972946540,,
134,5435699.591,489973.705,1.005,d: eleopal-schopun / s: carelyn,85,0.85,1.855,-0.024,2,-0.012,1.9998560155501,133.9325533102040,,
136,5435698.407,489972.187,1.034,d: eleopal-schopun-carelyn / s: agrosto-wood debris,102.2,1.022,2.056,0.029,2,0.0145,1.9997897831480,135.9323430933520,,
138,5435697.138,489970.641,1.006,d: eleopal-schopun-carelyn / s: agrosto-wood debris,96.6,0.966,1.972,-0.028,2,-0.014,1.9998040288073,137.9321471221590,,
140,5435695.909,489969.044,0.906,d: eleopal-schopun / s: carelyn,85,0.85,1.756,-0.1,2,-0.05,1.9975046777557,139.9296517999150,,
142,5435694.625,489967.527,0.934,d: eleopal-schopun / i: carelyn-phalaru-alistri,91.8,0.918,1.852,0.028,2,0.014,1.9998040288073,141.9294558287220,,
144,5435693.286,489965.958,0.977,d: eleopal-schopun / s: carelyn / i: alistri-phalaru,107.2,1.072,2.049,0.043,2,0.0215,1.9995379101946,143.9289937389170,,
146,5435692.007,489964.506,0.953,d: carelyn / s: schopun / i: eleopal-agrosto,120.8,1.208,2.161,-0.024,2,-0.012,1.9998560155501,145.9288497544670,,
148,5435690.771,489962.947,0.966,d: carelyn / i: eleopal-schopun-agrosto,97.5,0.975,1.941,0.013,2,0.0065,1.9999577513388,147.9288075058060,,
150,5435689.572,489961.39,1.05,d: carelyn / i: schopun-agrosto,111.6,1.116,2.166,0.084,2,0.042,1.9982383303466,149.9270458361530,1.05,c4
