Transect,Meter,Northing,Easting,Elevation,Desc,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
2,0,5449059.56,503704.599,0.272,i: pers. sp.-callsta,0.272,c1,0,0,0,0,0
2,2,5449058.068,503705.909,0.371,i: pers. sp.-callsta-limoaqu,,,0.099,2,0.0495,1.997554244,1.997554244
2,4,5449056.538,503707.16,0.506,i: pers. sp.-callsta,0.506,c2,0.136,2,0.068,1.995391974,3.992946218
2,6,5449055.022,503708.443,0.6,d: pers. sp. / i: callsta,,,0.093,2,0.0465,1.99784125,5.990787468
2,8,5449053.457,503709.744,0.644,s: pers. sp. / i: callsta,0.644,c3,0.044,2,0.022,1.999516176,7.990303644
