Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5438586.953,491816.735,-1.266,,
2,5438588.414,491815.375,-0.974,,
3,5438589.833,491814.124,-0.667,,
4,5438591.201,491812.743,-0.353,,
5,5438592.524,491811.438,-0.027,,
6,5438593.856,491809.967,0.194,,
7,5438595.320,491808.613,0.361,,
8,5438596.745,491807.306,0.510,,
9,5438598.163,491805.865,0.678,,
10,5438599.642,491804.613,0.749,,
11,5438601.086,491803.202,0.774,,
12,5438602.612,491801.894,0.755,,
13,5438604.161,491800.539,0.775,,
14,5438605.468,491799.102,0.756,,
15,5438606.913,491797.674,0.694,,
16,5438608.375,491796.327,0.603,,
17,5438609.929,491795.045,0.439,,
18,5438611.105,491793.546,0.266,,
19,5438612.674,491792.056,-0.168,,
20,5438614.082,491790.717,0.197,,
21,5438615.452,491789.355,0.362,,
22,5438616.913,491787.956,0.451,,
23,5438618.216,491786.522,0.568,,
24,5438619.693,491785.175,0.679,,
25,5438621.289,491783.954,0.780,,
26,5438623.088,491782.810,0.858,,
27,5438624.459,491781.644,0.938,,
28,5438626.251,491780.833,0.952,,
29,5438627.940,491779.978,0.932,,
30,5438629.593,491778.842,0.856,,
31,5438631.283,491777.947,0.775,,
32,5438632.937,491776.948,0.644,,
33,5438633.868,491775.707,-0.229,,
34,5438634.714,491774.561,0.683,,
35,5438636.216,491773.420,0.808,,
36,5438637.737,491772.230,0.964,,
VRS1,5438877.678,492044.701,0.659,Base Setup,
VRS2,5438609.675,491819.841,21.215,Base Setup,
